id,smiles
70170,O=C([O-])c1ccc(C(=O)N2[C@H](C[C@H](O)c3ccccc3)CCC2)cc1
70171,S(=O)(=O)(N(C[C@H](C)c1n[nH]nn1)C)c1cc(F)cc(C)c1
70172,O=C(Nc1cc(CN2C(=O)NCC2=O)ccc1)Cc1c(C)cccc1
70173,Clc1cc(F)c(N=S(=O)([O-])c2c(F)ccc(C(=O)[O-])c2)cc1
70174,S(=O)(=O)(N[C@H](CC(=O)[O-])c1ccc(F)cc1)c1cc(C(=O)C)ccc1
70175,S(=O)([O-])(=Nc1c(C)cn(-c2ccccc2)n1)c1c(C)sc(C(=O)[O-])c1
70176,S(=O)(=O)(C)c1cc(C(=O)Nc2ccc(OCC(=O)N)cc2)ccc1
70177,O=C(N1c2c(cccc2)CC1)c1ccc(CN2C(=O)CCC2=O)cc1
70178,O=C(NN1C(=O)[N-]C(=O)C1)c1sc(N2CCOCC2)c(-c2ccccc2)c1
70179,S(=O)([O-])(=NC(=O)c1cnc2n(C(C)C)ncc2c1)C
70180,S(=O)([O-])(=Nc1cnc2n[nH]c(C)c2c1)c1cnc2c(scc2)c1
70181,O=C(N)COc1ccc(C(=O)N2[C@H](C(=O)[O-])C[C@H]3[C@H]2CCCC3)cc1
70182,S(=O)([O-])(=N[C@@H](C(C)C)CCO)c1c(F)ccc(F)c1
70183,S(=O)(=O)(N(CC=C)c1c(C(=O)[O-])cccc1)c1ccc(NC(=O)OC)cc1
70184,S(=O)(=O)(N1C[C@@](O)(C(=O)N)CC1)c1ccc([C@H](CC)C)cc1
70185,S(=O)(=O)(NCC(=O)[O-])c1ccc(C2CCCCC2)cc1
70186,S(=O)(=O)(N(CCCO)Cc1cnccc1)c1cc(C(=O)N(C)C)ccc1
70187,O=C([O-])CC[C@@H]1CN(C(=O)[C@@H]2N(Cc3ccc(C)cc3)C(=O)CC2)CCC1
70188,O=C(CN1C(=O)[N-]N=C1)N1c2c(C3(C1)CCCC3)cccc2
70189,O=C(CN([C@@H](C)c1ccccc1)C)N1c2c(O[C@H](C(=O)N)C1)cccc2
70190,S(=O)(=O)(N1CCC2(C(=O)NC(=O)N2)CC1)c1c(F)ccc(C)c1
70191,S(=O)(=O)(N(CCC(=O)N)Cc1ccccc1)c1c(C(F)(F)F)cccc1
70192,O=C([O-])[C@H]1N(C(=O)c2cc(CC#N)ccc2)Cc2c(cccc2)C1
70193,S(=O)(=O)(Nc1cc(C(=O)Nc2ccc(CC(=O)N)cc2)ccc1)CC
70194,O=C(Cc1c2c(ccc1)cccc2)N1CCC2(C(=O)NC(=O)N2)CC1
70195,O=C([O-])[C@@H]1[C@@H](N(Cc2c(C)ccs2)C(=O)CC1)c1cn(C)nc1
70196,O=C(N[C@@H]1c2c(cccc2)CCC1)COc1c(NC(=O)C)ccc(C(=O)C)c1
70197,S(=O)(=O)(N1CCC2(C(=O)NC(=O)N2)CC1)c1cc(C(F)(F)F)ccc1
