Name,Smiles,Unaligned Pharm. Score,CNNaffinity,CNNaffinity_variance,rmsd,Binding Affinity Score,CNNscore,CNN_VS,Pharm. Score,minimizedAffinity
ZINC09813792,Brc1ccc(cc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C(C)C)cc3,86.02,6.2453775,0.08610096,0.99297714,-8.62,0.6253214,3.905368,76.51,-8.09518
ZINC36693858,S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)c3ccc(c2ccccc2)cc3)cc4)CC,86.02,5.6431565,0.81663054,0.9918619,-5.47,0.44238174,2.4964294,76.51,0.55067
ZINC36693719,S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)Cc3cc2OCOc2cc3)cc4)C,85.83,6.2901,0.23304136,0.98986983,-10.11,0.71761525,4.5138717,76.51,-7.86572
ZINC36693926,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(N(C)C)cc2)cc3)CC,86.02,6.0115128,0.06255771,0.9927143,-6.34,0.6692209,4.0230303,76.51,-7.9285
ZINC05203554,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(N(C)C)cc2)cc3)C,86.02,5.6095824,0.16181313,0.9929662,-5.19,0.5259085,2.9501274,76.51,-8.10559
ZINC09813729,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(cc2)C)cc3)C(C)C,86.02,6.0067415,0.10847876,0.99305207,-7.42,0.5616317,3.3735764,76.51,-7.7975
ZINC02918170,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccc(OC)cc3)C4,76.43,6.80527,0.22603564,0.93609065,-14.67,0.8266411,5.625516,76.5,-8.86686
ZINC72145495,O=C(O)c3ccc(c2c1c([nH]cc1)nc(NCCOC)c2)cc3,-1.0,6.4292955,0.035437077,1.0160196,-19.37,0.98442173,6.3291383,76.5,-9.32186
ZINC09813828,s1c(ccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C(C)C)cc3,86.0,5.646008,0.2284855,0.96994734,-5.0,0.4078324,2.3026252,76.48,-8.31845
ZINC12641430,n1c(nc(nc1N)C(C#N)=Cc2cc(ccc2)C#N)Nc3ccccc3,-1.0,6.934485,0.12236615,1.258723,-14.68,0.9404289,6.52139,76.46,-8.25237
ZINC36693913,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cccc2)C)cc3)CC,-1.0,6.100293,0.0923065,0.9229867,-9.96,0.6985602,4.2614217,76.44,-8.07011
ZINC36693433,S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)Cc3ccc(c2ccccc2)cc3)cc4)C,85.81,6.5618906,0.12041607,0.99093264,-11.27,0.56559885,3.7113976,76.41,-7.75176
ZINC36693509,S(=O)(=O)(N(C)C)c2ccc(c1oc(nn1)NC(=O)C(C)(C)C)cc2,-1.0,5.915221,0.070064105,0.99062866,-4.61,0.5306114,3.1386838,76.4,-7.42771
ZINC01088725,S(c2cc(N(=O)O)cc(NC(=O)c1ccc(F)cc1)c2)CC(O)CO,75.31,6.0568895,0.23544638,1.1234766,-1.5,0.8039194,4.869251,76.39,-9.30502
ZINC42381207,o1c(nnc1c3cc2OCCOc2cc3)NC(=O)Nc4ccccc4,85.56,5.74581,0.16198654,1.0692575,-11.2,0.7719942,4.435732,76.39,-8.74437
ZINC36693866,Clc1c(ccc(Cl)c1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,-1.0,5.9176817,0.2665845,0.9369836,-13.9,0.52412486,3.101604,76.37,-9.49117
ZINC36693853,Clc1c(cccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,-1.0,6.0490413,0.10405733,0.93688005,-11.64,0.5143465,3.111303,76.37,-8.48718
ZINC32541042,O(C(c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C)C,76.27,6.9894686,0.052726887,0.78235286,-13.21,0.98177767,6.862104,76.37,-9.05015
ZINC32541042,O(C(c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C)C,-1.0,7.000779,0.05302968,0.9842919,-19.26,0.9836066,6.8860126,76.37,-9.01175
ZINC06941524,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccccc3)C4,76.19,6.6116114,0.20182936,0.9361336,-4.62,0.8391955,5.5484343,76.36,-8.91626
ZINC36693619,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)Cc2c(cc(cc2)C)C)cc3)C,76.11,6.3473454,0.08633579,1.0291686,-1.4,0.6365206,4.0402164,76.35,-7.88621
ZINC72433095,Fc4c(OC)ccc(c3c1c([nH]cc1)nc(NCc2ccncc2)c3)c4,85.95,7.091853,0.0947196,0.91795576,-25.49,0.97536933,6.9171762,76.35,-9.75425
ZINC20744634,O(c1ccc(cc1)CNc3nc2n(ncc2c(n3)NCCCO)C)C,-1.0,6.6839285,0.05341193,0.9014906,-15.87,0.815952,5.453765,76.34,-7.0472
ZINC11296745,O(c1cc(OC)cc(c1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)C,-1.0,7.2046814,0.16471007,1.0701027,-17.73,0.96668375,6.9646482,76.31,-8.64664
ZINC09292003,Clc1ccc(cc1)C6Nc2n(nc(n2)N3C(=O)C4C(C3=O)CC=CC4)C(c5ccc(OC)cc5)C6,75.73,5.9472337,0.7433182,1.0927451,-13.6,0.28534576,1.6970179,76.3,-4.60973
ZINC09292003,Clc1ccc(cc1)C6Nc2n(nc(n2)N3C(=O)C4C(C3=O)CC=CC4)C(c5ccc(OC)cc5)C6,76.44,6.3177876,1.7965313,0.93620163,-16.89,0.5806721,3.668563,76.3,-3.46122
ZINC03647854,Clc1ccc(cc1)C5N=C2N(NC(=N2)NC(=O)c3sccc3)C(c4ccc(OC)cc4)C=5,-1.0,7.1145554,0.17990313,1.093279,-23.61,0.70757604,5.034089,76.3,-4.81112
